"Este","Norte","Cota","Tipo_Cap","Geol","Prof_seco_","head"
1105346,1129567,2520,"Aljibe","Deposito Aluvial - Qal",0.28,2519.72
1106231,1131073,2531,"Aljibe","Deposito Aluvial - Qal",0.65,2530.35
1107862,1131001,2526,"Aljibe","Deposito Aluvial - Qal",1.66,2524.34
1104780,1130005,2516,"Aljibe","Deposito Aluvial - Qal",0.93,2515.07
1104607,1130059,2526,"Aljibe","Deposito Aluvial - Qal",1.47,2524.53
1103392,1129014,2554,"Aljibe","Deposito Aluvial - Qal",2.35,2551.65
1104161,1130869,2537,"Aljibe","Deposito Aluvial - Qal",3.15,2533.85
1099745,1127224,2542,"Aljibe","Deposito Aluvial - Qal",3.99,2538.01
1104672,1130774,2524,"Aljibe","Deposito Aluvial - Qal",1.1,2522.9
1104700,1130734,2516,"Aljibe","Deposito Aluvial - Qal",1.58,2514.42
1104913,1130827,2530,"Aljibe","Deposito Aluvial - Qal",0.91,2529.09
1107094,1127415,2520,"Aljibe","Deposito Aluvial - Qal",0.04,2519.96
1107091,1127139,2527,"Aljibe","Deposito Aluvial - Qal",0.55,2526.45
1106255,1131443,2538,"Aljibe","Deposito Aluvial - Qal",0.17,2537.83
1107260,1130877,2513,"Aljibe","Deposito Aluvial - Qal",3.98,2509.02
1109611,1133214,2539,"Aljibe","Deposito Aluvial - Qal",0.84,2538.16
1110411,1132553,2524,"Aljibe","Deposito Aluvial - Qal",1.8,2522.2
1112379,1131734,2518,"Aljibe","Deposito Aluvial - Qal",2.01,2515.99
1112497,1129685,2402,"Aljibe","Deposito Aluvial - Qal",0.9,2401.1
1110741,1130826,2519,"Aljibe","Deposito Aluvial - Qal",1.87,2517.13
1112929,1131132,2512,"Aljibe","Deposito Aluvial - Qal",1.42,2510.58
1112432,1130055,2515,"Aljibe","Deposito Aluvial - Qal",3.55,2511.45
1113539,1130983,2514,"Aljibe","Deposito Aluvial - Qal",1.83,2512.17
1113149,1131135,2512,"Aljibe","Deposito Aluvial - Qal",2.17,2509.83
1116669,1135430,2528,"Aljibe","Deposito Aluvial - Qal",2.16,2525.84
1115559,1133475,2506,"Aljibe","Deposito Aluvial - Qal",1.1,2504.9
1115865,1133306,2510,"Aljibe","Deposito Aluvial - Qal",2.85,2507.15
1115984,1133231,2506,"Aljibe","Deposito Aluvial - Qal",1.18,2504.82
1114386,1132398,2525,"Aljibe","Deposito Aluvial - Qal",0.6,2524.4
1114052,1132021,2517,"Aljibe","Deposito Aluvial - Qal",2.1,2514.9
1110530,1132667,2525,"Aljibe","Deposito Aluvial - Qal",1.28,2523.72
1110774,1133369,2538,"Aljibe","Deposito Aluvial - Qal",0.66,2537.34
